# invariantly_possibly_eat
-- res/dining/dining_2.aut
Smart,136106,59351,48195,49088,41054,41501,41948,39269,46410,53549,40609,43286,37931,57566,47302,49088,43286,44624,43286,86573,42840,45963,42393,44625,43733,44625,41501,42394,42393,41055,39716,21420,20974,20973,20528,20527,20974,50872,47749,41054,40609,43286,39716,41055,25436,24097,23205,24097,39270,24544,22759,31683,23205,23651,24097,23205,24098,23651,23205,23652,23205,23652,23651,23205,41947,62474,42839,51318,40163,37485,24098,23651,29899,48641,39716,39716,40163,41501,38824,42393,41502,40609,41501,43286,44179,42840,43286,45072,41947,41501,42840,41055,44178,42393,40608,42840,41947,41947,41947,43732
-- res/dining/dining_6.aut
naive,236065,203044,161988,146816,137891,129858,167344,128073,121826,120934,115132,114240,120933,109778,109331,108438,108884,106654,105314,112454,104869,102637,102191,103530,101745,109331,152171,174037,110670,102191,102637,101298,126288,102191,109778,101744,101745,100406,189209,103084,103084,101744,108885,101745,104422,101298,100406,101745,167790,102637,101299,106208,99959,100406,100853,140568,102638,99513,101299,99959,100406,124057,117364,99960,105761,100406,99959,99513,142354,101298,100406,105761,99959,100852,100406,176715,100406,105761,104422,99959,100853,99959,100406,99068,99513,122273,141461,102191,114240,101299,99960,132536,131197,102637,109331,256593,435985,239190,231603,349413
EmersonAndLei,244098,290954,166004,136106,119148,114685,162435,112009,115132,140122,142799,100852,111562,101745,100406,99067,145477,99513,99067,99067,97728,97728,97283,152171,99068,98175,97728,97283,99067,107992,144584,98621,98621,99067,98621,98175,299433,190102,156633,114239,144139,115578,107992,105761,104868,103976,102191,151724,103084,100852,101745,102191,99960,99513,173145,103529,100852,99513,99514,100406,131197,103530,98621,99514,99514,97283,98621,186532,104869,105761,102191,99513,99960,99514,161542,101745,99514,99067,99513,99960,103976,161542,99960,99067,99513,98174,97728,96390,99513,98175,98621,97729,96836,97728,98175,165558,130751,102191,98175,98621
Smart,72293,43287,58012,40162,67384,59798,58458,57120,56228,59797,61136,66491,64706,61582,59351,55781,37038,35254,35254,53104,88804,70061,68722,66045,64706,70508,88804,69168,55335,89696,65599,63813,36146,89250,77647,68276,65152,65152,66937,70061,77647,67384,56227,56673,63813,55334,55781,53550,53996,71400,81663,44179,39270,36146,36146,36592,33468,33915,33468,33023,33915,33915,33022,32576,33469,33915,33468,33915,34361,33469,33469,33468,34362,83448,66938,40609,37039,34808,34807,33915,41055,34807,38378,34361,33469,33022,33468,33915,33915,34361,33915,37931,33915,33915,33469,33915,33469,68276,58905,37038
-- res/dining/dining_7.aut
naive,628764,437324,454727,423490,462760,428399,421259,447141,419028,425275,432415,404748,684545,664910,684992,781828,710874,726493,720692,752375,680083,652416,635904,581462,630995,691685,639474,621625,655540,734972,680083,682761,702395,718014,804586,754160,777365,862599,772011,711767,515417,636351,536391,534159,509170,570306,641706,680083,678298,661340,642598,689008,694363,691685,600205,516310,465438,377526,415904,381989,376187,392699,355214,415457,765316,450265,505600,476594,459190,417689,439555,407425,402963,410995,387344,452942,381096,438216,378865,394930,389128,372171,398054,364139,403409,365924,361908,398500,360569,412780,360123,346735,780042,809495,641260,468561,431968,401178,1095094,629657
EmersonAndLei,688115,540853,634119,527466,494444,518987,455173,472577,435539,510509,544869,618501,582354,588156,505600,405194,403855,381543,359676,412780,366816,395377,362354,365478,368156,355214,398947,361015,358783,807711,545762,576107,491766,547993,730063,843856,965236,584586,446249,394038,417243,389129,361015,475255,392253,618947,679190,669373,472578,466330,428845,456067,414565,405640,602882,617161,1256637,626087,376187,448033,366816,336918,385559,343166,378419,351198,332455,385113,350751,356106,348966,393591,483733,384667,378866,418135,419028,419028,429291,888481,1328928,1095540,786736,713998,662233,1070104,758623,703287,746128,593064,492658,362354,303003,283814,302111,284707,283368,308358,281137,264625
Smart,120934,87019,116024,78986,75416,73185,73185,71846,72292,69615,68722,84788,154402,86573,78986,77647,130305,124057,137891,141908,143246,142353,143246,145478,141907,142353,143245,142799,140568,141014,141907,142353,147708,141461,137891,140569,170467,143693,176268,154402,197242,143246,141015,156633,147708,145924,144584,142800,163327,148601,149047,144138,144138,165112,98175,90142,86572,85233,83003,88804,116917,107992,83448,82110,82110,80771,79879,79432,118256,83894,80771,80771,78986,78986,77647,78540,125396,82109,79878,79879,78540,78540,76754,92820,112454,82109,80325,79878,78540,78094,78094,136106,89250,81664,79432,79879,77201,77201,76755,171359
-- res/dining/dining_8.aut
naive,2500778,2658750,2403049,2428486,2382075,2898385,2441872,2590473,2456599,2320047,2389216,2287024,2544956,2356193,2468202,2444104,2244185,2286132,2478019,2335666,2344591,2696681,2580656,2482927,2470433,2682847,3419603,3106783,3514208,4195184,3978307,4125123,2714977,3016641,2904186,2945688,3144714,2868040,3066175,2976032,2660534,2427147,2632420,2395909,2299073,2258465,2217856,2229905,2170999,2357978,2273191,2275422,2387431,2281224,2208039,2204469,2427593,2567268,2445889,2360210,2471326,2519074,4024271,2676600,2881428,2666336,2657857,2450351,2773435,2508364,2418668,2334327,2604754,2708729,2869379,2560575,2385646,2862685,2598506,2456152,2529337,3167473,2488729,2412421,2434733,2505687,2880982,3729300,4865003,4038104,2647593,2882321,2788608,2602076,2424023,2486051,2458384,3360253,2624834,2461954
EmersonAndLei,2520858,2449459,2437411,3046539,2621711,2524875,2297735,2430270,2428485,2726579,2661873,2408851,2312460,2370919,2258911,2253110,2378505,2353516,2262035,2259357,2172785,2216070,2148241,2227227,2495423,2341467,2207592,2395463,3400861,2476680,2594936,2377167,2398141,2229905,2155827,2131730,2429378,3150962,3637819,4106827,3096966,3206297,2835910,2464632,2405281,2282562,2309337,2772097,3191124,2440980,2456599,2846621,2613232,41745225,1292783,1330267,1157569,1152660,1174080,1141505,1123654,1124100,1403452,1261098,1722520,1354365,1174973,1162924,1108035,1105358,1139273,1122316,1228969,1125439,1186129,1623006,1174973,1401220,1230308,1149091,1150429,1158462,1177651,1145520,1145074,1162032,1170956,1371768,1763575,1415054,1286535,1438705,1581505,1830066,1756435,1826495,1736800,1781871,1346333,1272702
