# plato_infinitely_often_can_eat
-- res/dining/dining_2.aut
Smart,42394,19635,17404,20527,16958,16958,17404,16958,28113,30791,29007,17850,16511,16511,16512,16958,16065,16957,18296,19189,16957,16957,16511,16511,16511,16958,27668,29899,29453,17850,16512,16511,16065,16511,16511,16511,16511,16512,16511,16065,16511,16958,17850,16957,18742,28114,29452,29007,17850,16512,16958,16065,16511,16958,16512,16511,16511,16511,16511,16511,16065,16511,16511,27221,29452,30791,17404,22313,16512,16511,16511,16511,16511,16511,16511,16511,16511,16512,16511,19188,16065,16957,31683,28560,20527,16511,16511,16511,16511,16512,16957,16512,16511,16511,16511,20527,16958,16512,16511,26329
-- res/dining/dining_5.aut
naive,74524,20081,17403,17403,16957,17404,16958,16958,16958,16958,16958,17404,19189,16957,18296,17849,17404,16957,16958,16957,16957,16958,16511,16958,17404,16957,16958,16511,17404,16957,16957,24098,16957,17404,16958,16957,16958,16957,16511,16511,16957,17404,16957,16958,19634,19635,16957,16957,16958,16957,16958,16957,16958,16958,16958,16511,16958,16957,16957,16958,17404,16957,16958,17403,17404,16958,16958,16511,16957,16957,17403,16958,16957,16957,16958,16958,17403,18296,16957,17403,16958,16957,16957,17403,29006,20527,18296,19635,18296,18743,25883,19189,17850,25436,20974,19635,18743,18743,18296,18742
EmersonAndLei,106207,21420,19188,18743,18296,18296,18742,17850,17850,17404,18296,17850,17850,18296,17850,30791,21866,18296,17850,17403,17404,28560,15172,11602,10710,18743,17850,17850,18296,18296,17403,18296,25882,18296,18743,12049,33022,18296,17404,18742,18296,17850,17850,18296,18296,17850,17850,18296,18296,17850,17404,16511,16957,18742,19635,18296,27668,20081,17850,29006,17850,17404,18296,16958,16958,16958,16957,17404,17850,16511,15619,16511,16958,17403,17850,17850,16511,16958,17404,16958,16957,16511,20082,18742,17404,16958,16958,17403,16957,16958,17403,16958,17403,17404,16957,16957,16958,16957,17404,17850
Smart,69615,36146,33469,30345,31684,31684,33469,31238,20527,19635,21867,51765,42840,31684,21420,20081,20081,20528,20081,37931,32576,33022,22759,20527,20081,20081,19635,20527,20081,33469,33915,33023,33915,33469,35700,34807,34807,34362,35253,52211,26329,29899,23205,20974,28560,34362,21420,20082,20527,27667,35700,21420,26329,37039,20973,20528,20081,20081,20081,20527,20081,20527,20081,20527,20081,20528,33469,40163,37485,36592,34361,33022,32130,20527,19635,19635,19635,19635,61582,42840,40163,35700,35700,29453,43286,32576,33022,41948,28560,28114,112454,41055,36592,29452,29006,29452,28114,47302,35700,34808
-- res/dining/dining_6.aut
naive,45517,31238,25437,23205,22758,21866,22313,20974,20973,21420,21867,19635,19635,20527,20081,27221,18296,82110,34361,34808,47748,30344,24990,23651,18742,18296,18296,17850,33915,36146,26329,23651,34361,27667,24097,21866,21420,20974,28113,19635,20081,20527,20081,20973,17850,17404,20974,20528,37039,28560,24097,36592,21866,20974,20973,20527,20528,55335,37485,34361,37931,47302,53550,49088,37039,36593,49979,53104,51319,53104,28114,23205,22312,21420,20974,20974,20082,20527,20973,20081,20527,20081,19635,20081,20081,20081,39716,37931,30345,20528,20081,20082,20081,20081,19635,20081,20081,19635,35700,36593
EmersonAndLei,58905,44625,42394,40609,40163,40609,42840,38824,38824,39270,38377,37039,38824,38378,42839,41055,38377,37485,37039,38823,37485,39716,37485,35254,36592,36146,36146,37931,36146,37931,37485,37039,36593,84341,59351,42394,36593,35700,34807,33915,35254,35253,34361,36592,34808,36592,35699,36146,20973,26775,37931,20528,20974,20528,20974,21420,20527,20527,20081,20081,24097,20527,20527,20528,20527,20528,21866,21866,21420,20527,37931,36146,24543,20527,20081,24097,20081,20527,19634,21866,20527,21420,20974,33915,33469,53104,38377,64259,47302,31238,18743,17850,17850,17404,17404,50873,22759,20081,16957,17850
Smart,59798,35253,31238,29006,27668,27667,26775,27221,32576,26775,26775,26775,30791,49980,33023,41055,33023,32577,31237,35699,33915,30791,30345,27221,137445,34361,30344,29007,27667,27667,27668,27668,27221,26775,26775,27222,27221,26775,55781,31238,29899,30345,29899,38377,26775,26775,41948,50426,37931,34361,31684,36593,46410,31238,37485,26329,26328,25436,25882,30345,51765,33468,29899,28560,27668,39717,31684,30344,30792,30792,30345,30791,29899,36147,53550,37932,34361,31683,32576,31238,31237,30791,30791,30345,32130,32130,31683,124057,40162,34807,32576,31683,31237,31237,32576,31684,30345,30792,30345,30791
-- res/dining/dining_7.aut
